Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-17T08:04:00.000000Z,#015196,Deduct,espresso,18,(g),FjsO1gi3AvmElOZnIztq6g8HAnQZY
2025-10-17T08:04:00.000000Z,#015196,Deduct,4oz cup,1,cup,FjsO1gi3AvmElOZnIztq6g8HAnQZY
2025-10-17T08:04:00.000000Z,#015196,Deduct,almond milk,2,(oz),FjsO1gi3AvmElOZnIztq6g8HAnQZY
2025-10-17T08:16:00.000000Z,#015197,Deduct,espresso,9,(g),5Rg945lxU1SRQrwd3CRBGcrfOY7YY
2025-10-17T08:16:00.000000Z,#015197,Deduct,16oz cup,1,cup,5Rg945lxU1SRQrwd3CRBGcrfOY7YY
2025-10-17T08:16:00.000000Z,#015197,Deduct,vanilla syrup,3,pump,5Rg945lxU1SRQrwd3CRBGcrfOY7YY
2025-10-17T08:19:00.000000Z,#015198,Deduct,espresso,29,(g),zCI0cB5Q2GhD7YxfMZy0ZZKO9U9YY
2025-10-17T08:19:00.000000Z,#015198,Deduct,16oz cup,1,cup,zCI0cB5Q2GhD7YxfMZy0ZZKO9U9YY
2025-10-17T08:19:00.000000Z,#015198,Deduct,whole milk,4,(oz),zCI0cB5Q2GhD7YxfMZy0ZZKO9U9YY
2025-10-17T08:19:00.000000Z,#015198,Deduct,6oz cup,1,cup,zCI0cB5Q2GhD7YxfMZy0ZZKO9U9YY
2025-10-17T08:20:00.000000Z,#015199,Deduct,espresso,45,(g),3ES3jjY9lAfrTByN98DbIZDQwhFZY
2025-10-17T08:20:00.000000Z,#015199,Deduct,16oz cup,2,cup,3ES3jjY9lAfrTByN98DbIZDQwhFZY
2025-10-17T08:20:00.000000Z,#015199,Deduct,almond milk,2,(oz),3ES3jjY9lAfrTByN98DbIZDQwhFZY
2025-10-17T08:20:00.000000Z,#015199,Deduct,whole milk,2,(oz),3ES3jjY9lAfrTByN98DbIZDQwhFZY
