Timestamp,Reference_id,Action,Ingredient,Amount,Unit,Order_id
2025-10-07T08:00:00.000000Z,#014196,Deduct,espresso,54,(g),hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:00:00.000000Z,#014196,Deduct,12oz cup,1,cup,hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:00:00.000000Z,#014196,Deduct,chocolate syrup,3,pump,hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:00:00.000000Z,#014196,Deduct,almond milk,8,(oz),hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:00:00.000000Z,#014196,Deduct,6oz cup,1,cup,hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:00:00.000000Z,#014196,Deduct,oat milk,3,(oz),hr9ecMxsxJwVCkFBAfKgOgyc0jBZY
2025-10-07T08:04:00.000000Z,#014197,Deduct,espresso,54,(g),bGACly204V0q8QM2EQlj2JQ4phIZY
2025-10-07T08:04:00.000000Z,#014197,Deduct,6oz cup,1,cup,bGACly204V0q8QM2EQlj2JQ4phIZY
2025-10-07T08:04:00.000000Z,#014197,Deduct,whole milk,2,(oz),bGACly204V0q8QM2EQlj2JQ4phIZY
2025-10-07T08:04:00.000000Z,#014197,Deduct,16oz cup,1,cup,bGACly204V0q8QM2EQlj2JQ4phIZY
2025-10-07T08:05:00.000000Z,#014198,Deduct,espresso,27,(g),Z9E0aHyJfesr5ry7DOi8rlZ7v0fZY
2025-10-07T08:05:00.000000Z,#014198,Deduct,12oz cup,1,cup,Z9E0aHyJfesr5ry7DOi8rlZ7v0fZY
2025-10-07T08:05:00.000000Z,#014198,Deduct,oat milk,2,(oz),Z9E0aHyJfesr5ry7DOi8rlZ7v0fZY
2025-10-07T08:16:00.000000Z,#014199,Deduct,espresso,27,(g),XECpQyCm0a9z2V71j50B62VPeVHZY
2025-10-07T08:16:00.000000Z,#014199,Deduct,4oz cup,1,cup,XECpQyCm0a9z2V71j50B62VPeVHZY
2025-10-07T08:16:00.000000Z,#014199,Deduct,whole milk,1,(oz),XECpQyCm0a9z2V71j50B62VPeVHZY
2025-10-07T08:20:00.000000Z,#014200,Deduct,espresso,45,(g),5luVxQTa0NaRlGhfxBf6EunzLoJZY
2025-10-07T08:20:00.000000Z,#014200,Deduct,16oz cup,2,cup,5luVxQTa0NaRlGhfxBf6EunzLoJZY
2025-10-07T08:20:00.000000Z,#014200,Deduct,caramel syrup,3,pump,5luVxQTa0NaRlGhfxBf6EunzLoJZY
2025-10-07T08:20:00.000000Z,#014201,Deduct,espresso,9,(g),n2vha0e5OwsUwnsD1l47937DxZcZY
2025-10-07T08:20:00.000000Z,#014201,Deduct,4oz cup,1,cup,n2vha0e5OwsUwnsD1l47937DxZcZY
2025-10-07T08:20:00.000000Z,#014201,Deduct,whole milk,1,(oz),n2vha0e5OwsUwnsD1l47937DxZcZY
2025-10-07T08:23:00.000000Z,#014202,Deduct,espresso,18,(g),lFjttuIjpZt1q3KwNyrfge9LYFOZY
2025-10-07T08:23:00.000000Z,#014202,Deduct,4oz cup,1,cup,lFjttuIjpZt1q3KwNyrfge9LYFOZY
2025-10-07T08:23:00.000000Z,#014202,Deduct,almond milk,1,(oz),lFjttuIjpZt1q3KwNyrfge9LYFOZY
