Name,Quantity,Price_per_unit,Total
hot_Espresso,3,175,525
iced_Espresso,6,250,1500
hot_Doppio,6,325,1950
iced_Doppio,8,400,3200
hot_Macchiato,5,200,1000
iced_Macchiato,5,275,1375
hot_Doppio macchiato,3,350,1050
iced_Doppio macchiato,6,425,2550
hot_Cortado,3,350,1050
iced_Cortado,4,425,1700
hot_Cappuccino,9,375,3375
iced_Cappuccino,4,450,1800
hot_Flat white,5,375,1875
iced_Flat white,4,575,2300
hot_Pour over,4,200,800
iced_Pour over,6,275,1650
hot_Americano,5,350,1750
iced_Americano,4,550,2200
hot_Latte,8,450,3600
iced_Latte,9,525,4725
hot_Mocha,10,500,5000
iced_Mocha,7,575,4025
hot_Red Eye,6,375,2250
iced_Red Eye,4,450,1800
hot_Black Eye,8,525,4200
iced_Black Eye,4,600,2400
regular_modification,11,0,0
oat_modification,21,50,1050
almond_modification,15,50,750
soy_modification,18,50,900
vanilla_modification,10,50,500
caramel_modification,9,50,450
hazelnut_modification,11,50,550
chocolate_modification,9,50,450
seasonal_modification,6,50,300
extra_single_modification,19,150,2850
extra_double_modification,14,275,3850
Grand_total,,,71300
